video_id,influencer,platform,main_topic,content_type,content_format,nj_relevance_score,local_vs_universal,tone,target_audience,production_quality,originality_score,analysis_confidence
7548246323812650253,Aiyana Figueroa _aiyanafig,tiktok,Hidden Edgar Allan Poe speakeasy,promotion,montage,0.8,regional,casual,Young adults in NJ/NYC area interested in unique nightlife and themed experiences,medium,0.3,0.7
7548513153861127437,Aiyana Figueroa _aiyanafig,tiktok,Game show entertainment venue,promotion,montage,0.9,local,casual,"New Jersey residents and tourists seeking entertainment activities, particularly young adults and families",medium,0.3,0.8
7550718135893036343,Aiyana Figueroa _aiyanafig,tiktok,Local spa promotion review,promotion,vlog,0.9,local,enthusiastic,"NJ residents interested in wellness, self-care, and local experiences, particularly young women",medium,0.4,0.85
7551473462578072846,Aiyana Figueroa _aiyanafig,tiktok,Paint Me Bear activity recommendation,promotion,vlog,0.7,regional,casual,Young adults in NJ/NYC area looking for social activities and entertainment options,medium,0.3,0.8
7551834753729629454,Aiyana Figueroa _aiyanafig,tiktok,Fall candle shopping haul,promotion,vlog,0.8,regional,casual,Young women in NJ/NY metro area interested in lifestyle content and seasonal shopping,medium,0.3,0.85
7552199259769064718,Aiyana Figueroa _aiyanafig,tiktok,Fashion brand promotion content,promotion,montage,0.2,universal,casual,Young women interested in athleisure fashion and lifestyle content,medium,0.3,0.8
7552569020910685454,Aiyana Figueroa _aiyanafig,tiktok,Curly hair transformation reveal,lifestyle,montage,0.0,universal,inspirational,People with curly hair seeking styling inspiration and salon recommendations,medium,0.3,0.7
7552937576265534733,Aiyana Figueroa _aiyanafig,tiktok,Hotel promotion and tourism,promotion,montage,0.95,local,inspirational,"New Jersey residents and regional tourists interested in Shore destinations, particularly women seeking romantic or leisure getaways",high,0.3,0.9
7553349576929840398,Aiyana Figueroa _aiyanafig,tiktok,Fall fashion shopping guide,promotion,tutorial,0.9,local,casual,"NJ residents interested in fashion and shopping, particularly young women",medium,0.3,0.85
7553825304666574093,Aiyana Figueroa _aiyanafig,tiktok,Cetaphil skincare brand event,promotion,vlog,0.1,universal,enthusiastic,"Beauty enthusiasts and skincare-conscious consumers, particularly young women interested in accessible dermatology",medium,0.3,0.8
7554451458133986573,Aiyana Figueroa _aiyanafig,tiktok,Halloween haunted house attraction,promotion,montage,0.4,regional,dramatic,Halloween enthusiasts in NYC/NJ metro area aged 16-35,medium,0.3,0.8
7554549923480456461,Aiyana Figueroa _aiyanafig,tiktok,Fall events and activities,lifestyle,montage,0.8,regional,casual,Young adults and millennials in NJ/NY tri-state area interested in seasonal activities and social experiences,medium,0.4,0.7
7554799018929442062,Aiyana Figueroa _aiyanafig,tiktok,Local nutrition business promotion,promotion,montage,0.8,local,enthusiastic,Fitness enthusiasts and health-conscious individuals in North Jersey area,medium,0.4,0.85
7555554883550678285,Aiyana Figueroa _aiyanafig,tiktok,Mountain Creek Oktoberfest promotion,promotion,montage,0.9,regional,casual,NJ residents aged 21+ interested in fall festivities and outdoor events,medium,0.3,0.8
7556076350541450510,Aiyana Figueroa _aiyanafig,tiktok,New Jersey hair salon recommendation,promotion,tutorial,0.8,local,inspirational,People with curly hair in New Jersey and surrounding areas seeking specialized hair care services,medium,0.3,0.85
7556658507047554359,Aiyana Figueroa _aiyanafig,tiktok,Fall pumpkin patch activities,lifestyle,montage,0.9,local,casual,New Jersey families and young adults seeking seasonal activities and photo opportunities,medium,0.4,0.8
7557071240121437495,Aiyana Figueroa _aiyanafig,tiktok,Immersive dining movie experience,promotion,montage,0.1,regional,enthusiastic,Young adults and millennials interested in unique dining and entertainment experiences,medium,0.3,0.7
7557428838045617422,Aiyana Figueroa _aiyanafig,tiktok,Seasonal fragrance shopping recommendations,promotion,lifestyle,0.8,local,casual,Young women in NJ/NY area interested in beauty and seasonal lifestyle content,medium,0.3,0.85
7558182707822382350,Aiyana Figueroa _aiyanafig,tiktok,Fall activities Mountain Creek,promotion,montage,0.9,regional,inspirational,NJ/NY metro area families and outdoor enthusiasts seeking fall activities,high,0.3,0.85
