video_id,influencer,platform,sentiment_score,sentiment_label,primary_emotion,secondary_emotion,formality,energy_level,humor_level,rhetorical_mode,authenticity_score,controversy_potential,shareability_score,confidence
7548246323812650253,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,anticipation,joy,casual,high,0.3,persuasive,0.6,0.1,0.8,0.9
7548513153861127437,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,anticipation,casual,very_high,0.3,persuasive,0.4,0.1,0.7,0.95
7550718135893036343,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,joy,anticipation,conversational,high,0.3,persuasive,0.7,0.1,0.8,0.9
7551473462578072846,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,trust,casual,high,0.1,persuasive,0.7,0.0,0.8,0.9
7551834753729629454,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,joy,anticipation,casual,high,0.2,persuasive,0.3,0.0,0.7,0.9
7552199259769064718,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,joy,anticipation,casual,high,0.2,persuasive,0.6,0.1,0.7,0.9
7552569020910685454,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,joy,anticipation,casual,high,0.1,entertaining,0.7,0.0,0.8,0.85
7552937576265534733,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,anticipation,conversational,high,0.2,persuasive,0.3,0.1,0.8,0.9
7553349576929840398,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,anticipation,joy,conversational,high,0.2,persuasive,0.3,0.1,0.7,0.9
7553825304666574093,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,trust,conversational,high,0.2,persuasive,0.4,0.1,0.7,0.9
7554451458133986573,Aiyana Figueroa _aiyanafig,tiktok,0.7,positive,anticipation,joy,casual,very_high,0.3,persuasive,0.4,0.1,0.8,0.85
7554549923480456461,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,anticipation,joy,casual,very_high,0.3,entertaining,0.7,0.1,0.9,0.95
7554799018929442062,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,anticipation,joy,casual,very_high,0.2,persuasive,0.4,0.1,0.8,0.9
7555554883550678285,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,anticipation,joy,casual,very_high,0.2,persuasive,0.3,0.1,0.8,0.95
7556076350541450510,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,trust,casual,high,0.2,persuasive,0.6,0.1,0.8,0.9
7556658507047554359,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,joy,anticipation,casual,high,0.3,persuasive,0.6,0.1,0.9,0.9
7557071240121437495,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,anticipation,casual,high,0.3,persuasive,0.8,0.1,0.9,0.9
7557428838045617422,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,anticipation,joy,casual,high,0.2,persuasive,0.4,0.1,0.7,0.9
7558182707822382350,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,anticipation,conversational,high,0.1,persuasive,0.4,0.0,0.8,0.9
7558551606640315661,Aiyana Figueroa _aiyanafig,tiktok,0.2,positive,surprise,sadness,conversational,high,0.2,entertaining,0.8,0.1,0.9,0.9
7558908328546520334,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,anticipation,joy,casual,very_high,0.2,persuasive,0.6,0.1,0.8,0.9
7559389343694048525,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,anticipation,joy,casual,high,0.3,persuasive,0.6,0.1,0.8,0.9
7560129044075826445,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,joy,anticipation,casual,very_high,0.6,entertaining,0.6,0.1,0.9,0.9
7560764647956073742,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,joy,anticipation,conversational,high,0.1,persuasive,0.4,0.2,0.8,0.9
7561482271060921613,Aiyana Figueroa _aiyanafig,tiktok,0.8,positive,joy,anticipation,casual,high,0.6,entertaining,0.6,0.1,0.8,0.85
7562227927744580877,Aiyana Figueroa _aiyanafig,tiktok,0.85,very_positive,joy,anticipation,casual,very_high,0.3,persuasive,0.6,0.1,0.8,0.9
7563359168099388685,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,anticipation,joy,conversational,very_high,0.6,persuasive,0.7,0.1,0.8,0.9
7563732553421671694,Aiyana Figueroa _aiyanafig,tiktok,0.9,very_positive,joy,anticipation,casual,high,0.1,persuasive,0.4,0.1,0.8,0.9
7564093135333248270,Aiyana Figueroa _aiyanafig,tiktok,0.8,very_positive,joy,anticipation,casual,very_high,0.3,persuasive,0.4,0.1,0.8,0.9
