video_id,influencer,platform,sentiment_score,sentiment_label,primary_emotion,secondary_emotion,formality,energy_level,humor_level,rhetorical_mode,authenticity_score,controversy_potential,shareability_score,confidence
7540511235050081549,Jersey Talks,tiktok,0.65,positive,surprise,anticipation,casual,high,0.75,entertaining,0.6,0.35,0.85,0.68
7541256691313020174,Jersey Talks,tiktok,0.65,positive,joy,surprise,casual,very_high,0.8,entertaining,0.75,0.1,0.85,0.72
7541412111818312991,Jersey Talks,tiktok,-0.45,negative,sadness,anger,casual,high,0.75,entertaining,0.85,0.15,0.9,0.88
7543461671449283871,Jersey Talks,tiktok,0.15,neutral,anticipation,surprise,casual,high,0.6,entertaining,0.65,0.35,0.75,0.68
7543854805979041055,Jersey Talks,tiktok,-0.85,very_negative,anger,disgust,casual,high,0.0,informative,0.65,0.9,0.88,0.82
7546328218396052767,Jersey Talks,tiktok,-0.85,very_negative,sadness,fear,formal,moderate,0.0,informative,0.75,0.85,0.8,0.82
7547166338192608542,Jersey Talks,tiktok,0.75,very_positive,joy,surprise,casual,very_high,0.75,entertaining,0.65,0.35,0.85,0.82
7548788935753993486,Jersey Talks,tiktok,0.75,positive,joy,surprise,conversational,high,0.4,entertaining,0.8,0.05,0.85,0.82
7549039146786983198,Jersey Talks,tiktok,-0.35,negative,sadness,trust,conversational,low,0.0,inspirational,0.82,0.15,0.8,0.85
7550886860134829343,Jersey Talks,tiktok,-0.75,negative,anger,disgust,conversational,high,0.15,informative,0.7,0.85,0.88,0.82
7551216956808940831,Jersey Talks,tiktok,0.15,neutral,anticipation,surprise,casual,very_high,0.4,entertaining,0.5,0.75,0.85,0.65
7551536218970836255,Jersey Talks,tiktok,0.85,very_positive,joy,anticipation,conversational,very_high,0.35,inspirational,0.78,0.05,0.88,0.92
7552758956964334879,Jersey Talks,tiktok,0.35,positive,trust,anticipation,conversational,moderate,0.3,inspirational,0.75,0.05,0.72,0.82
7552759727709572383,Jersey Talks,tiktok,0.15,neutral,surprise,anticipation,casual,very_high,0.1,entertaining,0.4,0.65,0.8,0.7
7553116928282332447,Jersey Talks,tiktok,-0.65,negative,surprise,fear,casual,very_high,0.15,entertaining,0.4,0.75,0.85,0.78
7554254102864121118,Jersey Talks,tiktok,0.15,neutral,surprise,anticipation,casual,very_high,0.6,entertaining,0.35,0.25,0.8,0.55
7556386100009241887,Jersey Talks,tiktok,-0.95,very_negative,sadness,fear,professional,high,0.0,informative,0.8,0.85,0.9,0.92
7558708370559995167,Jersey Talks,tiktok,-0.15,neutral,anticipation,surprise,casual,low,0.6,entertaining,0.75,0.25,0.8,0.65
7559378732138515743,Jersey Talks,tiktok,0.0,neutral,unknown,unknown,unknown,unknown,0.0,unknown,0.0,0.0,0.0,0.0
7561271110231182623,Jersey Talks,tiktok,-0.65,negative,surprise,fear,casual,very_high,0.05,entertaining,0.5,0.55,0.8,0.78
7561549431586196767,Jersey Talks,tiktok,-0.95,very_negative,disgust,anger,professional,high,0.0,informative,0.85,0.85,0.88,0.92
7563328684581489951,Jersey Talks,tiktok,0.82,very_positive,joy,trust,casual,very_high,0.72,entertaining,0.75,0.15,0.88,0.79
7563420176364997919,Jersey Talks,tiktok,0.35,positive,surprise,anticipation,casual,very_high,0.6,entertaining,0.5,0.25,0.8,0.65
7563723651447639351,Jersey Talks,tiktok,-0.75,negative,sadness,fear,professional,moderate,0.0,informative,0.8,0.72,0.65,0.85
7565924094470802718,Jersey Talks,tiktok,-0.35,negative,surprise,sadness,casual,moderate,0.55,entertaining,0.65,0.35,0.72,0.68
7566471758488849694,Jersey Talks,tiktok,-0.85,very_negative,sadness,disgust,professional,moderate,0.0,informative,0.85,0.65,0.72,0.88
7567592577793346846,Jersey Talks,tiktok,0.75,very_positive,joy,anticipation,casual,very_high,0.8,entertaining,0.7,0.15,0.82,0.78
7567602897165257998,Jersey Talks,tiktok,0.85,very_positive,joy,anticipation,casual,high,0.65,entertaining,0.72,0.05,0.88,0.78
7567925895244057911,Jersey Talks,tiktok,0.85,very_positive,joy,anticipation,conversational,very_high,0.4,inspirational,0.8,0.05,0.9,0.87
7568930365616721183,Jersey Talks,tiktok,-0.65,negative,fear,disgust,professional,moderate,0.0,informative,0.8,0.75,0.85,0.85
7569074393490443550,Jersey Talks,tiktok,0.85,very_positive,joy,anticipation,conversational,high,0.1,informative,0.75,0.55,0.8,0.82
7572207905580076302,Jersey Talks,tiktok,0.1,neutral,anticipation,surprise,professional,moderate,0.0,informative,0.75,0.65,0.7,0.82
7572753590729624887,Jersey Talks,tiktok,-0.35,negative,sadness,surprise,casual,moderate,0.6,entertaining,0.75,0.25,0.85,0.72
