video_id,influencer,platform,main_topic,content_type,content_format,nj_relevance_score,local_vs_universal,tone,target_audience,production_quality,originality_score,analysis_confidence
3762920491217147950,megthings_,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.15
3763709386717069393,megthings_,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3763899102947151709,megthings_,instagram,Insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3764377775164877381,megthings_,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine,low,0.0,0.2
3765233399650050998,megthings_,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine without content,low,0.0,0.1
3765930130930879476,megthings_,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine from available data,medium,0.1,0.1
3766491750962784445,megthings_,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.05
3766753909064041554,megthings_,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,medium,0.0,0.1
3767937229571350735,megthings_,instagram,unknown content subject,other,other,0.0,universal,casual,general social media audience,low,0.1,0.1
3768133395918947896,megthings_,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine without content,low,0.0,0.15
3768855651301291555,megthings_,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3769579343887058571,megthings_,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.15
3770309181891494090,megthings_,instagram,insufficient content available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.2
3706595851026463135,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3707888453965246966,myteacherface Jessica Hawk,instagram,Insufficient content available,other,other,0.0,universal,informative,Unable to determine due to missing content,unknown,0.0,0.1
3707995970519049194,myteacherface Jessica Hawk,instagram,insufficient content data,other,other,0.0,universal,informative,undeterminable due to missing content,low,0.0,0.1
3709987572643975384,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3712977429687394527,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine from provided data,low,0.0,0.05
3713006779136692515,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.1,0.05
3713690599896895083,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine,low,0.0,0.1
3713839424481497766,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,unknown,0.0,0.1
3715014747315112366,myteacherface Jessica Hawk,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,medium,0.0,0.12
3716647845404597302,myteacherface Jessica Hawk,instagram,Insufficient content data,other,other,0.0,universal,informative,unable to determine,medium,0.0,0.1
3717332968663913290,myteacherface Jessica Hawk,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,unknown,0.0,0.1
3718783951902278631,myteacherface Jessica Hawk,instagram,unknown content absence,other,other,0.0,universal,informative,unable to determine due to missing content,unknown,0.0,0.25
3719544088921350302,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.1,universal,informative,"followers of the influencer, unknown specific niche",medium,0.2,0.05
3720153009629364193,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,undetermined due to missing content,low,0.0,0.1
3720240309361113315,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine from missing content,low,0.0,0.1
3720330778485141885,myteacherface Jessica Hawk,instagram,insufficient content available,other,other,0.0,universal,informative,unable to determine without content,low,0.1,0.1
3721569218757290141,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.05
3721690001852845482,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine without content,low,0.0,0.1
3723060560897461985,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unknown due to missing content,low,0.0,0.1
3723136922136048421,myteacherface Jessica Hawk,instagram,Insufficient data available,other,other,0.0,universal,informative,unknown due to missing content,unknown,0.0,0.2
3723864331428764283,myteacherface Jessica Hawk,instagram,Insufficient information available,other,other,0.0,universal,informative,Unable to determine due to missing content,unknown,0.0,0.1
3724595165177820447,myteacherface Jessica Hawk,instagram,insufficient content available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.2
3725203010843733125,myteacherface Jessica Hawk,instagram,insufficient content available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3725965903948374232,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.15
3728305972889751568,myteacherface Jessica Hawk,instagram,insufficient content provided,other,other,0.0,universal,informative,unable to determine due to missing content,medium,0.0,0.1
3729579038231962288,myteacherface Jessica Hawk,instagram,unknown content topic,other,other,0.0,universal,informative,unable to determine from provided data,medium,0.2,0.1
3731000347079979920,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3731836603745832344,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,unknown,0.0,0.1
3733393375014883265,myteacherface Jessica Hawk,instagram,Insufficient information available,other,other,0.0,universal,informative,Unable to determine due to missing content,unknown,0.0,0.1
3733976640742460247,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unknown due to missing content,unknown,0.0,0.1
3734800122346696348,myteacherface Jessica Hawk,instagram,unknown (no content),other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3739887815858762551,myteacherface Jessica Hawk,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine without content,low,0.1,0.15
3747746077891071098,myteacherface Jessica Hawk,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.1,0.1
3748594981389971174,myteacherface Jessica Hawk,instagram,insufficient content provided,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3749234549181104806,myteacherface Jessica Hawk,instagram,Insufficient information available,other,other,0.0,universal,informative,Unable to determine due to missing content,low,0.0,0.1
3749348849283494547,myteacherface Jessica Hawk,instagram,Insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,medium,0.0,0.1
3750093019845466434,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.1,0.1
3750634829827438824,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.05
3752241694986207070,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.05
3752815056636574429,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine,low,0.0,0.1
3760054392910211520,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine from available data,medium,0.1,0.1
3760890861186949062,myteacherface Jessica Hawk,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,unknown,0.0,0.1
3761959599030065747,myteacherface Jessica Hawk,instagram,insufficient content available,other,other,0.0,universal,informational,unable to determine from provided data,unknown,0.0,0.15
3762861739252714573,myteacherface Jessica Hawk,instagram,Insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,medium,0.0,0.08
3763725445784094772,myteacherface Jessica Hawk,instagram,Insufficient content data,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3763742195158187645,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3765796594265487404,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.1,universal,informative,"followers of the influencer, likely educators or NJ-based fans",medium,0.3,0.15
3768002961000201193,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.0,universal,informative,unable to determine due to missing content,medium,0.1,0.1
3768809997309261232,myteacherface Jessica Hawk,instagram,insufficient data available,other,other,0.0,universal,informational,unable to determine from available data,low,0.0,0.1
3770268093995006834,myteacherface Jessica Hawk,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.05
3758860130537513743,New Jersey Shade,instagram,insufficient content available,other,other,0.0,universal,informative,unable to determine based on missing content,low,0.0,0.1
3763825083446976130,New Jersey Shade,instagram,unknown due to missing data,other,other,0.2,local,informative,Followers of New Jersey Shade; NJ-focused social media consumers,low,0.2,0.1
3767377438700593442,New Jersey Shade,instagram,unknown due to missing content,other,other,0.2,local,informative,followers of New Jersey Shade and NJ-focused social media content,low,0.1,0.1
3767896651424964369,New Jersey Shade,instagram,insufficient content available,other,other,0.2,universal,informative,"Followers of the New Jersey Shade page, but exact audience unknown",low,0.1,0.05
3767926450604284090,New Jersey Shade,instagram,insufficient content available,other,other,0.2,universal,informative,followers of the New Jersey Shade account,low,0.1,0.1
3768005318962926522,New Jersey Shade,instagram,insufficient information available,other,other,0.1,local,informative,"followers of New Jersey Shade, likely NJ‑based social media consumers",low,0.1,0.05
3768052416978692285,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,"Followers of New Jersey Shade or NJ-focused social media, but specifics unknown",low,0.1,0.05
3768099360627352985,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,followers of New Jersey Shade or NJ‑focused social content,low,0.1,0.1
3768128481789020535,New Jersey Shade,instagram,insufficient content available,other,other,0.1,universal,informative,"followers of the New Jersey Shade account, but specific audience cannot be determined without content",low,0.1,0.05
3768166179950123259,New Jersey Shade,instagram,insufficient content data,other,other,0.2,local,informative,Followers of New Jersey Shade seeking local gossip or news,low,0.1,0.1
3768187648629573274,New Jersey Shade,instagram,insufficient content available,other,other,0.1,universal,informative,followers of the New Jersey Shade account,low,0.1,0.05
3768256823439756989,New Jersey Shade,instagram,insufficient content data,other,other,0.2,local,informative,"followers of New Jersey Shade, likely NJ residents familiar with local gossip/news",low,0.1,0.05
3768635652758900640,New Jersey Shade,instagram,insufficient information,other,other,0.1,universal,informative,followers of the New Jersey Shade account (general interest),low,0.1,0.1
3768830295173841996,New Jersey Shade,instagram,insufficient data available,other,other,0.1,universal,informative,"followers of the New Jersey Shade account, but specific audience unclear",low,0.1,0.1
3769347370472521082,New Jersey Shade,instagram,insufficient content available,other,other,0.1,local,informative,followers of New Jersey Shade seeking NJ-related updates,low,0.1,0.05
3769368158886001938,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,followers of New Jersey Shade or NJ-focused social media consumers,low,0.1,0.1
3769379758317568388,New Jersey Shade,instagram,insufficient content data,other,other,0.0,universal,informative,unknown due to missing content,low,0.0,0.1
3769395637088544798,New Jersey Shade,instagram,insufficient information available,other,other,0.0,universal,informative,unknown due to missing content,unknown,0.0,0.05
3769449409693198240,New Jersey Shade,instagram,insufficient content available,other,other,0.1,local,informative,followers of New Jersey Shade or NJ‑focused social content,low,0.1,0.05
3769478037201057558,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,"Followers of New Jersey Shade or NJ‑focused social media, though exact audience unknown",low,0.1,0.05
3769486465010080598,New Jersey Shade,instagram,insufficient information available,other,other,0.1,local,informative,followers of New Jersey Shade or NJ‑focused social media users,low,0.1,0.1
3769573272498291382,New Jersey Shade,instagram,unknown due to missing data,other,other,0.5,local,informative,followers of New Jersey Shade and NJ-focused social media audiences,low,0.1,0.1
3769652146384846617,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,followers of New Jersey Shade or NJ-focused social media audiences,low,0.1,0.1
3769664366397481671,New Jersey Shade,instagram,insufficient information available,other,other,0.1,local,informative,"followers of New Jersey Shade, general NJ-focused social media audience",low,0.1,0.05
3770038408304479175,New Jersey Shade,instagram,insufficient content data,other,other,0.2,local,informative,followers of New Jersey Shade or NJ-focused social media audiences,low,0.1,0.1
3770045813784400127,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,followers of New Jersey Shade or NJ-focused social media users,low,0.1,0.05
3770061271984050622,New Jersey Shade,instagram,insufficient content data,other,other,0.2,local,informative,followers of New Jersey Shade interested in NJ-related social content,low,0.1,0.1
3770068442255840319,New Jersey Shade,instagram,insufficient information available,other,other,0.1,universal,informative,"followers of the New Jersey Shade account, but specific audience unknown",low,0.1,0.05
3770072562815543799,New Jersey Shade,instagram,insufficient content provided,other,other,0.2,local,informative,Followers of New Jersey Shade; general NJ-focused social media audience,low,0.1,0.05
3770076183682716995,New Jersey Shade,instagram,unknown due to missing content,other,other,0.2,local,informative,Followers of New Jersey Shade; NJ residents familiar with local gossip/news,medium,0.3,0.1
3770083960333337928,New Jersey Shade,instagram,insufficient content data,other,other,0.2,local,informative,"Followers of New Jersey Shade, NJ-focused social media consumers",low,0.1,0.1
3770092287410936373,New Jersey Shade,instagram,insufficient data available,other,other,0.2,local,informative,Followers of New Jersey Shade; NJ‑based social media users,low,0.1,0.1
3770099218867400660,New Jersey Shade,instagram,insufficient information available,other,other,0.0,universal,informative,unable to determine due to missing content,low,0.0,0.1
3770111103478100299,New Jersey Shade,instagram,insufficient content data,other,other,0.1,universal,informative,followers of the New Jersey Shade account,low,0.1,0.1
3770115739618484531,New Jersey Shade,instagram,insufficient information,other,other,0.2,local,informative,followers of New Jersey Shade or NJ-focused social media audiences,low,0.1,0.1
3770126904511802207,New Jersey Shade,instagram,insufficient content data,other,other,0.0,universal,informative,unable to determine,low,0.0,0.1
3770139126436811374,New Jersey Shade,instagram,insufficient information available,other,other,0.2,local,informative,followers of New Jersey Shade or NJ-focused social media audiences,low,0.1,0.1
3770142983954983375,New Jersey Shade,instagram,insufficient information available,other,other,0.1,local,informative,"followers of New Jersey Shade, NJ-focused social media users",low,0.1,0.05
3770148852910387344,New Jersey Shade,instagram,unknown due to missing content,other,other,0.2,local,informative,Followers of New Jersey Shade and NJ-focused social content,low,0.1,0.1
3770159333922415831,New Jersey Shade,instagram,insufficient content data,other,other,0.1,local,informative,"followers of New Jersey Shade, likely NJ residents interested in local news or gossip",low,0.1,0.05
3770175281261780831,New Jersey Shade,instagram,insufficient content data,other,other,0.1,universal,informative,followers of the New Jersey Shade account,low,0.0,0.1
