video_id,influencer,platform,sentiment_score,sentiment_label,primary_emotion,secondary_emotion,formality,energy_level,humor_level,rhetorical_mode,authenticity_score,controversy_potential,shareability_score,confidence
3762920491217147950,megthings_,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.15
3763709386717069393,megthings_,instagram,0.0,neutral,none,none,casual,low,0.0,informative,0.5,0.0,0.1,0.36
3763899102947151709,megthings_,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.42
3764377775164877381,megthings_,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.32
3765233399650050998,megthings_,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.9
3765930130930879476,megthings_,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.1
3766491750962784445,megthings_,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.76
3766753909064041554,megthings_,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.42
3767937229571350735,megthings_,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.32
3768133395918947896,megthings_,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.54
3768855651301291555,megthings_,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.15
3769579343887058571,megthings_,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.58
3770309181891494090,megthings_,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.88
3706595851026463135,myteacherface Jessica Hawk,instagram,0.0,neutral,none,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.05
3707888453965246966,myteacherface Jessica Hawk,instagram,0.0,neutral,trust,joy,conversational,low,0.0,informative,0.5,0.0,0.1,0.32
3707995970519049194,myteacherface Jessica Hawk,instagram,0.0,neutral,neutral,none,conversational,low,0.0,informative,0.0,0.0,0.0,0.2
