video_id,main_topic,content_type,nj_relevance_score,local_vs_universal,influencer,is_news_type,is_informative,is_nj_focused
7548246323812650253,Hidden Edgar Allan Poe speakeasy,promotion,0.8,regional,Aiyana Figueroa _aiyanafig,False,False,True
7548513153861127437,Game show entertainment venue,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7550718135893036343,Local spa promotion review,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7551473462578072846,Paint Me Bear activity recommendation,promotion,0.7,regional,Aiyana Figueroa _aiyanafig,False,False,True
7551834753729629454,Fall candle shopping haul,promotion,0.8,regional,Aiyana Figueroa _aiyanafig,False,False,True
7552937576265534733,Hotel promotion and tourism,promotion,0.95,local,Aiyana Figueroa _aiyanafig,False,False,True
7553349576929840398,Fall fashion shopping guide,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7554549923480456461,Fall events and activities,lifestyle,0.8,regional,Aiyana Figueroa _aiyanafig,False,False,True
7554799018929442062,Local nutrition business promotion,promotion,0.8,local,Aiyana Figueroa _aiyanafig,False,False,True
7555554883550678285,Mountain Creek Oktoberfest promotion,promotion,0.9,regional,Aiyana Figueroa _aiyanafig,False,False,True
7556076350541450510,New Jersey hair salon recommendation,promotion,0.8,local,Aiyana Figueroa _aiyanafig,False,False,True
7556658507047554359,Fall pumpkin patch activities,lifestyle,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7557428838045617422,Seasonal fragrance shopping recommendations,promotion,0.8,local,Aiyana Figueroa _aiyanafig,False,False,True
7558182707822382350,Fall activities Mountain Creek,promotion,0.9,regional,Aiyana Figueroa _aiyanafig,False,False,True
7558551606640315661,Boston Market restaurant closure,lifestyle,0.7,national,Aiyana Figueroa _aiyanafig,False,False,True
7558908328546520334,Mountain Creek zipline adventure,promotion,0.9,regional,Aiyana Figueroa _aiyanafig,False,False,True
7560129044075826445,Halloween event giveaway promotion,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7560764647956073742,Spa beauty treatment promotion,promotion,0.7,regional,Aiyana Figueroa _aiyanafig,False,False,True
7562227927744580877,Fall gift baskets for moms,lifestyle,0.7,regional,Aiyana Figueroa _aiyanafig,False,False,True
7563359168099388685,Halloween cocktail experience promotion,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7563732553421671694,Coffee promotion at bakery,promotion,0.8,local,Aiyana Figueroa _aiyanafig,False,False,True
7564093135333248270,Coach Coffee Shop Discovery,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
7564450157283101966,Asian Halloween food festival,promotion,0.9,regional,Aiyana Figueroa _aiyanafig,False,True,True
7564856174839975223,Vegan restaurant review,lifestyle,0.8,local,Aiyana Figueroa _aiyanafig,False,False,True
7565207124955942199,Date night entertainment venue,promotion,0.9,local,Aiyana Figueroa _aiyanafig,False,False,True
